time,thrust
1,0
2,0.045214286
3,0.090428571
4,0.135642857
5,0.180857143
6,0.226071429
7,0.271285714
8,0.3165
9,0.361714286
10,0.406928571
11,0.452142857
12,0.497357143
13,0.542571429
14,0.587785714
15,0.633
16,0.708
17,0.783
18,0.858
19,0.933
20,1.008
21,1.083
22,1.158
23,1.233
24,1.308
25,1.383
26,1.458
27,1.533
28,1.562097561
29,1.591195122
30,1.620292683
31,1.649390244
32,1.678487805
33,1.707585366
34,1.736682927
35,1.765780488
36,1.794878049
37,1.82397561
38,1.853073171
39,1.882170732
40,1.911268293
41,1.940365854
42,1.969463415
43,1.998560976
44,2.027658537
45,2.056756098
46,2.085853659
47,2.11495122
48,2.14404878
49,2.173146341
50,2.202243902
51,2.231341463
52,2.260439024
53,2.289536585
54,2.318634146
55,2.347731707
56,2.376829268
57,2.405926829
58,2.43502439
59,2.464121951
60,2.493219512
61,2.522317073
62,2.551414634
63,2.580512195
64,2.609609756
65,2.638707317
66,2.667804878
67,2.696902439
68,2.726
69,2.8013125
70,2.876625
71,2.9519375
72,3.02725
73,3.1025625
74,3.177875
75,3.2531875
76,3.3285
77,3.4038125
78,3.479125
79,3.5544375
80,3.62975
81,3.7050625
82,3.780375
83,3.8556875
84,3.931
85,4.0063125
86,4.081625
87,4.1569375
88,4.23225
89,4.3075625
90,4.382875
91,4.4581875
92,4.5335
93,4.6088125
94,4.684125
95,4.7594375
96,4.83475
97,4.9100625
98,4.985375
99,5.0606875
100,5.136
101,5.213784314
102,5.291568627
103,5.369352941
104,5.447137255
105,5.524921569
106,5.602705882
107,5.680490196
108,5.75827451
109,5.836058824
110,5.913843137
111,5.991627451
112,6.069411765
113,6.147196078
114,6.224980392
115,6.302764706
116,6.38054902
117,6.458333333
118,6.536117647
119,6.613901961
120,6.691686275
121,6.769470588
122,6.847254902
123,6.925039216
124,7.002823529
125,7.080607843
126,7.158392157
127,7.236176471
128,7.313960784
129,7.391745098
130,7.469529412
131,7.547313725
132,7.625098039
133,7.702882353
134,7.780666667
135,7.85845098
136,7.936235294
137,8.014019608
138,8.091803922
139,8.169588235
140,8.247372549
141,8.325156863
142,8.402941176
143,8.48072549
144,8.558509804
145,8.636294118
146,8.714078431
147,8.791862745
148,8.869647059
149,8.947431373
150,9.025215686
151,9.103
152,9.174575758
153,9.246151515
154,9.317727273
155,9.38930303
156,9.460878788
157,9.532454545
158,9.604030303
159,9.675606061
160,9.747181818
161,9.818757576
162,9.890333333
163,9.961909091
164,10.03348485
165,10.10506061
166,10.17663636
167,10.24821212
168,10.31978788
169,10.39136364
170,10.46293939
171,10.53451515
172,10.60609091
173,10.67766667
174,10.74924242
175,10.82081818
176,10.89239394
177,10.9639697
178,11.03554545
179,11.10712121
180,11.17869697
181,11.25027273
182,11.32184848
183,11.39342424
184,11.465
185,11.47208333
186,11.47916667
187,11.48625
188,11.49333333
189,11.50041667
190,11.5075
191,11.51458333
192,11.52166667
193,11.52875
194,11.53583333
195,11.54291667
196,11.55
197,11.55708333
198,11.56416667
199,11.57125
200,11.57833333
201,11.58541667
202,11.5925
203,11.59958333
204,11.60666667
205,11.61375
206,11.62083333
207,11.62791667
208,11.635
209,11.61466667
210,11.59433333
211,11.574
212,11.55366667
213,11.53333333
214,11.513
215,11.49266667
216,11.47233333
217,11.452
218,11.43166667
219,11.41133333
220,11.391
221,11.27439535
222,11.1577907
223,11.04118605
224,10.9245814
225,10.80797674
226,10.69137209
227,10.57476744
228,10.45816279
229,10.34155814
230,10.22495349
231,10.10834884
232,9.991744186
